-2.6971,-1.2271,-0.54872,0.59593,1.2431,2.5457
-2.4706,-0.94396,-0.22284,0.75644,1.1998,2.1506
-7.1237,-3.9741,-1.8382,0.3629,1.4154,5.7245
-2.3632,-1.0878,-0.45941,0.55501,1.1414,2.4305
-1.8345,-0.70679,-0.24712,0.28963,0.6993,1.697
-2.517,-1.3273,-0.72384,0.41926,1.1194,2.5819
-2.7081,-1.3209,-0.66251,0.48673,1.1895,2.8467
-2.2108,-1.0778,-0.51678,0.46717,1.049,2.2544
-2.7083,-0.97339,-0.39537,0.39054,0.96306,2.0777
-2.2122,-1.1183,-0.5842,0.36591,1.0092,2.4956
-1.8183,-0.67208,-0.25966,0.21083,0.6396,1.6889
-3.0212,-1.56,-0.85749,0.46385,1.2583,2.8727
-2.0741,-1.1107,-0.63954,0.33392,0.94526,2.1587
-2.2328,-1.029,-0.48638,0.31899,0.94485,2.5481
